ENSG;ProtID;Symbol;
ENSG00000124942;Q09666;AHNAK;
ENSG00000137154;P62753;RPS6;
ENSG00000147677;B3KS98;EIF3H;
ENSG00000160710;P55265;ADAR;
ENSG00000009307;G5E9Q2;CSDE1;
ENSG00000182872;P98175;RBM10;
ENSG00000170144;P51991;HNRNPA3;
ENSG00000100836;Q86U42;PABPN1;
ENSG00000138668;Q14103;HNRNPD;
ENSG00000152795;O14979;HNRNPDL;
ENSG00000128534;O95777;NAA38;
ENSG00000159176;P21291;CSRP1;
ENSG00000100650;Q13243;SRSF5;
ENSG00000099622;D6W5Y5;CIRBP;
ENSG00000135486;P09651;HNRNPA1;
ENSG00000115866;P14868;DARS;
ENSG00000096746;P31942;HNRNPH3;
ENSG00000162896;P01833;PIGR;
ENSG00000204569;Q96QC0;PPP1R10;
ENSG00000115541;P61604;HSPE1;
ENSG00000100883;P61011;SRP54;
ENSG00000187772;Q6ZN17;LIN28B;
ENSG00000146676;Q96QR8;PURB;
ENSG00000149273;P23396;RPS3;
ENSG00000204569;Q96QC0;PPP1R10;
ENSG00000122566;P22626;HNRNPA2B1;
ENSG00000131876;P09661;SNRPA1;
ENSG00000147905;Q8N3Z6;ZCCHC7;
ENSG00000055917;Q8TB72;PUM2;
ENSG00000131051;Q14498;RBM39;
ENSG00000134644;Q5T1Z8;PUM1;
ENSG00000149925;J3KPS3;ALDOA;
ENSG00000135829;Q08211;DHX9;
ENSG00000178952;P49411;TUFM;
ENSG00000177764;Q9NUD5;ZCCHC3;
ENSG00000039123;P42285;SKIV2L2;
ENSG00000144867;Q9Y5M8;SRPRB;
ENSG00000059378;Q9H0J9;PARP12;
ENSG00000143889;D6W592;HNRNPLL;
ENSG00000065526;Q96T58;SPEN;
ENSG00000130935;Q9H8H0;NOL11;
ENSG00000175792;Q9Y265;RUVBL1;
ENSG00000144029;P82675;MRPS5;
ENSG00000169813;P52597;HNRNPF;
ENSG00000114867;Q04637;EIF4G1;
ENSG00000153250;B4DN88;RBMS1;
ENSG00000126945;P55795;HNRNPH2;
ENSG00000132463;Q12849;GRSF1;
ENSG00000130305;Q96P11;NSUN5;
ENSG00000148843;Q14690;PDCD11;
ENSG00000130305;Q96P11;NSUN5;
ENSG00000116560;P23246;SFPQ;
ENSG00000138095;P42704;LRPPRC;
ENSG00000131732;Q8N567;ZCCHC9;
ENSG00000131732;Q8N567;ZCCHC9;
ENSG00000241945;Q15269;PWP2;
ENSG00000123200;Q5T200;ZC3H13;
ENSG00000015479;P43243;MATR3;
ENSG00000241945;Q15269;PWP2;
ENSG00000062582;Q96EL2;MRPS24;
ENSG00000143977;P62308;SNRPG;
ENSG00000130176;P51911;CNN1;
ENSG00000174444;P36578;RPL4;
ENSG00000136271;Q9NY93;DDX56;
ENSG00000162775;Q96T37;RBM15;
ENSG00000055917;Q8TB72;PUM2;
ENSG00000196498;Q9Y618;NCOR2;
ENSG00000182872;P98175;RBM10;
ENSG00000198561;O60716;CTNND1;
ENSG00000197892;Q9NQT8;KIF13B;
ENSG00000132153;Q7L2E3;DHX30;
ENSG00000122359;P50995;ANXA11;
ENSG00000143621;Q12905;ILF2;
ENSG00000174780;O76094;SRP72;
ENSG00000161960;P60842;EIF4A1;
ENSG00000115268;P62841;RPS15;
ENSG00000088930;Q9H0D6;XRN2;
ENSG00000147586;Q9Y2Q9;MRPS28;
ENSG00000048828;Q9NZB2;FAM120A;
ENSG00000125485;Q9H8H2;DDX31;
ENSG00000165832;Q8WWH5;TRUB1;
ENSG00000167658;P13639;EEF2;
ENSG00000175931;Q9C0C9;UBE2O;
ENSG00000149925;J3KPS3;ALDOA;
ENSG00000129351;Q12906;ILF3;
ENSG00000204576;P79522;PRR3;
ENSG00000090621;Q13310;PABPC4;
ENSG00000164548;Q13595;TRA2A;
ENSG00000153187;Q00839;HNRNPU;
